mvir,rockstarid,rvir
10012000000000,12687870139,438.557
10012000000000,12683328928,438.557
10012000000000,12670024610,438.557
10012000000000,12703395253,438.557
10012000000000,12664330670,438.557
10012000000000,12702276799,438.557
10012000000000,12693884701,438.557
10012000000000,12702061512,438.557
10012000000000,12696975187,438.557
10012000000000,12669532900,438.557
10014000000000,12570252144,438.579
10014000000000,12584687104,438.579
10014000000000,12584396034,438.579
10014000000000,12577669126,438.579
10014000000000,12588934286,438.579
10014000000000,12583890781,438.579
10014000000000,12621116365,438.579
10014000000000,12583749266,438.579
10014000000000,12577775162,438.579
10014000000000,12581989497,438.579
10014000000000,12592934487,438.579
10014000000000,12593470697,438.579
10014000000000,12629492945,438.579
10014000000000,12593650781,438.579
10014000000000,12584720328,438.579
10014000000000,12612855136,438.579
10014000000000,12581589210,438.579
10014000000000,12605481796,438.579
10014000000000,12611565537,438.579
10014000000000,12638095305,438.579
10014000000000,12603081811,438.579
10014000000000,12640212524,438.579
10014000000000,12616139049,438.579
10014000000000,12624359046,438.579
10014000000000,12623854203,438.579
10014000000000,12609152451,438.579
10014000000000,12591625200,438.579
10014000000000,12624803246,438.579
10014000000000,12617774312,438.579
10014000000000,12664902634,438.579
10014000000000,12618391898,438.579
10014000000000,12659184984,438.579
10014000000000,12634078477,438.579
10014000000000,12630144316,438.579
10014000000000,12636819019,438.579
10014000000000,12599480630,438.579
10014000000000,12628729099,438.579
10014000000000,12627667401,438.579
10014000000000,12643653197,438.579
10014000000000,12647469449,438.579
10014000000000,12643503668,438.579
10014000000000,12651819149,438.579
10014000000000,12649780092,438.579
10014000000000,12652167801,438.579
10014000000000,12688619404,438.579
10014000000000,12699658794,438.579
10014000000000,12660930083,438.579
10014000000000,12666502117,438.579
10014000000000,12664011866,438.579
10014000000000,12704904664,438.579
10014000000000,12679119276,438.579
10014000000000,12636671280,438.579
10014000000000,12679765846,438.579
10014000000000,12646528170,438.579
10014000000000,12648406000,438.579
10014000000000,12675710572,438.579
10014000000000,12678839359,438.579
10014000000000,12642045290,438.579
10014000000000,12666681612,438.579
10014000000000,12686716516,438.579
10014000000000,12690489571,438.579
10014000000000,12665042670,438.579
10014000000000,12693532411,438.579
10014000000000,12684472591,438.579
10014000000000,12691435873,438.579
10014000000000,12687692699,438.579
10014000000000,12698798679,438.579
10014000000000,12699373461,438.579
10014000000000,12702277631,438.579
10014000000000,12695206899,438.579
10014000000000,12704369628,438.579
10014000000000,12693956180,438.579
10015000000000,12579311344,438.601
10015000000000,12584972624,438.601
10015000000000,12582027944,438.601
10015000000000,12595713535,438.601
10015000000000,12607642925,438.601
10015000000000,12602938265,438.601
10015000000000,12569658792,438.601
10015000000000,12588641496,438.601
10015000000000,12573837209,438.601
10015000000000,12581369272,438.601
10015000000000,12573684241,438.601
10015000000000,12580227366,438.601
10015000000000,12621335144,438.601
10015000000000,12592213417,438.601
10015000000000,12587795118,438.601
10015000000000,12637107395,438.601
10015000000000,12583198851,438.601
10015000000000,12599891126,438.601
10015000000000,12630826464,438.601
10015000000000,12602602556,438.601
10015000000000,12632627064,438.601
10015000000000,12642362344,438.601
10015000000000,12645798835,438.601
10015000000000,12636495844,438.601
10015000000000,12608263068,438.601
10015000000000,12604832699,438.601
10015000000000,12620762256,438.601
10015000000000,12579713130,438.601
10015000000000,12592500270,438.601
10015000000000,12622155279,438.601
10015000000000,12610184172,438.601
10015000000000,12666190394,438.601
10015000000000,12623455727,438.601
10015000000000,12667061054,438.601
10015000000000,12621688688,438.601
10015000000000,12634291661,438.601
10015000000000,12640931193,438.601
10015000000000,12628950087,438.601
10015000000000,12629094507,438.601
10015000000000,12672574594,438.601
10015000000000,12626821632,438.601
10015000000000,12629525959,438.601
10015000000000,12632526001,438.601
10015000000000,12615516660,438.601
10015000000000,12678561174,438.601
10015000000000,12644006049,438.601
10015000000000,12681138165,438.601
10015000000000,12683111925,438.601
10015000000000,12645943442,438.601
10015000000000,12664970363,438.601
10015000000000,12651012721,438.601
10015000000000,12640709398,438.601
10015000000000,12666046619,438.601
10015000000000,12658048571,438.601
10015000000000,12665117748,438.601
10015000000000,12660221581,438.601
10015000000000,12665771248,438.601
10015000000000,12671053047,438.601
10015000000000,12673794047,438.601
10015000000000,12664474512,438.601
10015000000000,12668241847,438.601
10015000000000,12666891582,438.601
10015000000000,12675573158,438.601
10015000000000,12670094149,438.601
10015000000000,12680529961,438.601
10015000000000,12677780438,438.601
10015000000000,12654070120,438.601
10015000000000,12655870400,438.601
10015000000000,12683835781,438.601
10015000000000,12700196953,438.601
10015000000000,12692751033,438.601
10015000000000,12660678610,438.601
10015000000000,12696136362,438.601
10015000000000,12700196981,438.601
10015000000000,12699806312,438.601
10015000000000,12677924680,438.601
10015000000000,12705389262,438.601
10017000000000,12580079305,438.623
10017000000000,12582655034,438.623
10017000000000,12600406664,438.623
10017000000000,12586212546,438.623
10017000000000,12579057216,438.623
10017000000000,12580483798,438.623
10017000000000,12574832471,438.623
10017000000000,12572810668,438.623
10017000000000,12623070514,438.623
10017000000000,12575232558,438.623
10017000000000,12624915954,438.623
10017000000000,12591920427,438.623
10017000000000,12596097553,438.623
10017000000000,12637216234,438.623
10017000000000,12585554901,438.623
10017000000000,12596809537,438.623
10017000000000,12631199985,438.623
10017000000000,12585485778,438.623
10017000000000,12616321586,438.623
10017000000000,12598536978,438.623
10017000000000,12609082416,438.623
10017000000000,12609675276,438.623
10017000000000,12648026005,438.623
10017000000000,12576503570,438.623
10017000000000,12650339785,438.623
