mvir,x,y,z,rvir,rockstarid
275490000000,22.0266,9.27454,30.063,132.398,12568659236
322160000000,23.1865,8.37888,28.6139,139.488,12568660900
429040000000,19.1226,7.74197,23.3958,153.466,12568659503
153550000000,17.0182,6.23622,16.4372,108.959,12568664648
546460000000,19.2485,2.00866,19.7445,166.354,12568659057
158070000000,20.3737,2.04572,18.9058,110.017,12568661504
245380000000,23.223,2.4701,16.7459,127.387,12568657944
267960000000,23.3647,2.89184,16.5116,131.181,12568657945
456140000000,22.0205,2.07123,17.8132,156.631,12568658419
111400000000,19.9825,5.71554,16.0507,97.906,12568666599
108390000000,18.4366,6.62424,28.1914,97.016,12568665201
100860000000,18.0625,6.19819,30.8034,94.716,12568667884
112910000000,15.9584,4.31608,27.2262,98.345,12568666912
164090000000,15.8569,3.74002,26.5655,111.397,12568664346
168610000000,18.7908,0.89665,25.075,112.41,12568663950
152050000000,25.5432,0.41774,25.1965,108.602,12568664728
231830000000,24.1669,0.39266,29.3148,124.998,12568662046
115920000000,26.6617,6.9759,27.5414,99.211,12568666597
123440000000,26.2378,5.99947,28.1946,101.314,12568665389
5631700000000,26.7328,5.45409,27.9748,362.015,12568653870
146020000000,27.1546,4.78344,27.9262,107.149,12568653868
359790000000,27.2201,4.16293,27.7036,144.72,12568659502
114410000000,24.6289,4.70672,25.2474,98.78,12568666517
248390000000,24.6896,5.22295,26.0047,127.906,12568661586
534420000000,27.8697,2.2963,26.4941,165.123,12568658812
102370000000,29.4848,0.24142,20.7431,95.185,12568665720
153550000000,29.4435,7.314,23.253,108.959,12568664727
133980000000,26.6643,6.19407,19.8053,104.118,12568657652
129470000000,24.1022,0.94706,21.7722,102.935,12568666137
430550000000,24.7617,0.0913,20.7687,153.645,12568659442
165600000000,24.8135,3.29929,18.2174,111.736,12568661753
168610000000,23.4736,2.43368,16.4776,112.41,12568657943
120430000000,24.3851,3.36152,15.9526,100.483,12568666002
695500000000,27.1132,0.03654,17.2014,180.279,12568657939
176130000000,27.0616,1.56082,18.8706,114.058,12568663225
463670000000,26.6125,4.59966,18.0361,157.488,12568659368
535930000000,26.6069,5.33683,18.8917,165.278,12568659192
817440000000,26.73,5.95569,19.4396,190.253,12568657651
141510000000,28.7095,6.75124,16.1863,106.033,12568655131
2845200000000,28.783,6.76639,16.0379,288.327,12568655130
188180000000,28.7998,6.61301,15.7426,116.601,12568655128
188180000000,28.5738,1.20474,16.2731,116.601,12568664038
934860000000,28.7154,0.00215,14.0141,198.958,12568656695
249900000000,28.654,1.55265,12.3358,128.164,12568662112
182150000000,28.6074,1.77609,13.5514,115.343,12568662621
361300000000,28.8253,1.35828,12.7006,144.922,12568655651
212260000000,28.9365,0.47996,13.0479,121.377,12568659741
1106500000000,29.2057,0.94694,11.7232,210.455,12568655647
144520000000,29.3193,0.20727,12.6869,106.779,12568662255
684960000000,29.4006,0.54863,10.6983,179.364,12568657773
112910000000,29.6369,0.84086,10.5864,98.345,12568657774
231830000000,29.9324,1.40487,8.88048,124.998,12568662380
718080000000,29.7638,0.11936,8.11974,182.209,12568658127
112910000000,29.7887,0.57364,9.66564,98.345,12568664500
192690000000,29.0253,0.52492,11.4589,117.526,12568655645
115920000000,27.8943,2.88093,8.66582,99.211,12568666294
105380000000,28.4778,3.73133,8.73425,96.109,12568668315
112910000000,28.7983,4.23076,13.5049,98.345,12568660247
283020000000,28.7968,4.96936,14.1833,133.593,12568660624
665390000000,26.0209,0.41048,9.32599,177.639,12568658098
127960000000,24.8547,3.48155,15.6098,102.535,12568665722
143010000000,25.8216,3.50888,14.2701,106.407,12568664090
209250000000,25.2112,0.9363,15.1846,120.801,12568662310
124950000000,19.8767,3.77862,11.8415,101.724,12568665934
138500000000,18.7169,3.83683,12.1533,105.275,12568665072
185170000000,18.0032,3.65669,11.8439,115.975,12568663657
106880000000,17.0577,7.64895,11.3159,96.564,12568666741
168610000000,16.5444,7.04284,12.5841,112.41,12568663377
146020000000,15.8811,5.31191,13.1223,107.149,12568665579
115920000000,22.9959,7.53582,11.8249,99.211,12568666740
150540000000,19.7672,9.4547,8.65647,108.242,12568661364
129470000000,19.9804,9.40828,8.78102,102.935,12568661365
621730000000,21.7696,9.02684,9.87545,173.666,12568658666
510330000000,24.868,8.75459,0.86954,162.604,12568659060
130970000000,24.6525,9.39049,1.08115,103.333,12568666052
553990000000,19.4926,12.5161,6.02674,167.114,12568658763
136990000000,19.8,13.1728,6.48132,104.893,12568665012
135490000000,22.6699,11.1457,2.8363,104.507,12568662489
278500000000,20.1149,6.12229,3.21512,132.878,12568661407
108390000000,20.1539,6.05826,3.20163,97.016,12568661406
296570000000,19.969,4.45307,0.47913,135.692,12568661091
121940000000,19.8596,6.58318,5.41079,100.9,12568666003
115920000000,26.7699,0.72856,1.89724,99.211,12568665503
106880000000,26.1856,1.63388,1.52119,96.564,12568656839
322160000000,26.2048,1.2537,1.60672,139.488,12568656836
614210000000,26.2103,1.13413,1.5885,172.962,12568656835
207750000000,26.2803,1.32871,1.56766,120.51,12568656832
557000000000,25.5862,2.64158,0.9268,167.416,12568658203
114410000000,25.9054,2.20632,1.06315,98.78,12568664145
210760000000,24.9987,2.63663,0.31796,121.09,12568662491
1089900000000,25.1182,3.41965,0.68991,209.4,12568656714
155060000000,27.3343,1.06623,3.56005,109.314,12568664647
252910000000,26.9799,1.27933,2.45095,128.677,12568661763
164090000000,25.3967,5.98739,6.07617,111.397,12568664091
275490000000,24.8143,4.86195,2.11629,132.398,12568660495
126450000000,28.7616,3.90932,6.3932,102.131,12568665578
126450000000,29.1293,6.00668,7.69239,102.131,12568666600
