x_0,x_1
87.9966,88.574
83.2318,80.3495
83.2318,86.4474
83.2318,95.7859
35.0097,32.0696
35.0097,30.0773
35.0097,30.428
35.0097,36.3822
35.0097,40.6365
35.0097,42.3459
35.0097,32.7734
35.0097,41.7885
46.1242,46.0979
46.1242,56.8938
46.1242,52.8386
46.1242,59.7329
46.1242,42.3459
46.1242,40.6365
46.1242,57.224
46.1242,49.727
46.1242,60.4266
46.1242,58.8107
80.3495,86.4474
80.3495,84.0984
80.3495,82.7075
80.3495,85.4784
80.3495,95.7859
4.48077,1.76199
4.48077,8.42084
4.48077,10.9247
4.48077,5.12592
4.48077,12.3338
4.48077,10.0326
4.48077,14.408
4.48077,12.2958
4.48077,9.35709
4.48077,15.3685
42.7197,38.9692
42.7197,32.9278
42.7197,31.1238
42.7197,42.543
42.7197,49.1602
42.7197,40.8158
42.7197,58.6791
42.7197,40.458
9.13155,4.95903
9.13155,0.76615
9.13155,3.15515
9.13155,4.64622
9.13155,1.08497
9.13155,3.88711
9.13155,21.2412
87.6438,88.574
87.6438,84.4457
58.6791,49.1602
30.0773,30.428
30.0773,32.0696
30.0773,36.3822
30.0773,40.6365
30.0773,42.3459
30.0773,12.2958
30.0773,14.408
10.1033,7.14484
10.1033,16.7008
10.1033,4.01343
10.1033,0.62721
10.1033,6.72896
10.1033,2.97935
10.1033,8.57597
10.1033,0.13593
10.1033,8.09162
10.1033,20.679
10.1033,12.0842
10.1033,26.0686
10.1033,27.2796
9.50289,15.7033
9.50289,18.5595
9.50289,19.6295
9.50289,18.5639
9.50289,9.35709
9.50289,5.12592
9.50289,22.3781
9.50289,10.0326
14.408,10.9247
14.408,5.50422
14.408,6.58951
14.408,12.2958
14.408,5.12592
14.408,4.67995
14.408,8.42084
14.408,1.76199
14.408,12.3338
14.408,18.5595
14.408,19.6295
14.408,22.3781
14.408,10.0326
14.408,15.7033
14.408,32.0696
36.3822,30.428
36.3822,32.0696
36.3822,45.6681
36.3822,42.3459
36.3822,40.6365
36.3822,52.3406
36.3822,41.5349
36.3822,49.727
15.3685,10.0326
15.3685,9.35709
15.3685,15.7033
15.3685,18.5639
15.3685,18.5595
15.3685,12.3338
15.3685,19.6295
15.3685,22.3781
15.3685,8.42084
15.3685,4.67995
15.3685,6.58951
15.3685,5.12592
15.3685,0.46715
15.3685,10.9247
15.3685,5.50422
34.0436,29.9898
34.0436,40.8158
34.0436,23.4409
34.0436,26.9839
34.0436,40.458
34.0436,38.3128
34.0436,42.543
34.0436,36.2814
34.0436,40.6254
34.0436,41.5349
34.0436,32.7734
38.5799,39.073
38.5799,41.7885
38.5799,48.0123
38.5799,43.4093
38.5799,49.4851
99.3229,84.1804
99.3229,82.4213
82.7075,85.4784
82.7075,86.4474
82.7075,95.7859
9.4338,6.34549
38.3128,36.2814
38.3128,26.9839
38.3128,42.0127
38.3128,40.8158
38.3128,42.543
38.3128,50.1976
38.3128,41.0709
38.3128,41.2882
38.3128,40.2232
38.3128,49.1602
38.3128,28.718
38.3128,34.9113
38.3128,21.7357
38.3128,29.9898
75.8617,92.1247
75.8617,60.3764
52.8386,56.8938
52.8386,59.7329
52.8386,57.224
52.8386,60.4266
52.8386,52.3406
86.4474,84.0984
86.4474,85.4784
86.4474,95.7859
25.1478,27.7266
25.1478,22.8702
25.1478,25.1855
25.1478,28.9323
25.1478,30.7268
25.1478,27.2796
25.1478,16.7008
25.1478,30.3003
25.1478,31.8361
25.1478,38.2936
25.1478,25.2707
12.0842,8.09162
12.0842,8.57597
12.0842,20.679
12.0842,6.72896
12.0842,23.8242
12.0842,26.0686
12.0842,0.13593
12.0842,7.14484
12.0842,27.9689
39.073,41.7885
39.073,49.0287
39.073,48.0123
39.073,48.9799
39.073,41.401
39.073,22.3781
49.727,42.3459
49.727,40.6365
49.727,58.8107
49.727,52.3406
49.727,43.4093
49.727,60.4266
49.727,57.224
49.727,64.2412
49.727,46.0979
30.7268,27.7266
30.7268,27.2796
30.7268,25.1855
30.7268,16.7008
30.7268,38.2936
30.7268,22.8702
30.7268,37.8505
30.7268,30.3003
30.7268,31.8361
30.7268,26.0686
12.7697,12.3338
12.7697,8.42084
41.5349,40.6254
41.5349,45.6681
41.5349,40.458
22.0749,28.718
22.0749,21.7357
22.0749,26.9839
22.0749,6.34549
22.0749,36.2814
95.1313,92.1247
32.7734,45.4065
37.8505,27.2796
37.8505,28.9323
37.8505,26.0686
27.7266,28.9323
27.7266,27.2796
27.7266,25.1855
27.7266,22.8702
27.7266,30.3003
27.7266,31.8361
27.7266,16.7008
27.7266,38.2936
41.0709,34.9113
41.0709,44.0333
41.0709,50.1976
41.0709,36.2814
41.0709,54.6616
72.8807,73.4743
72.8807,71.9214
72.8807,67.2702
72.8807,57.5476
72.8807,66.2131
5.50422,4.67995
5.50422,1.76199
5.50422,10.9247
5.50422,8.42084
5.50422,5.12592
5.50422,12.2958
5.50422,12.3338
5.50422,10.0326
5.50422,9.35709
88.574,84.4457
88.574,83.2991
4.95903,1.08497
4.95903,0.76615
4.95903,3.15515
4.95903,4.64622
4.95903,3.88711
0.46715,9.35709
0.46715,10.0326
85.4784,95.7859
6.58951,4.67995
6.58951,8.42084
6.58951,10.9247
6.58951,1.76199
6.58951,5.12592
6.58951,12.3338
6.58951,10.0326
6.58951,12.2958
6.58951,9.35709
6.58951,18.5595
6.58951,15.7033
6.58951,19.6295
67.2702,71.9214
67.2702,73.4743
67.2702,66.2131
67.2702,64.3852
67.2702,58.795
67.2702,57.5476
67.2702,60.0459
1.76199,4.67995
1.76199,8.42084
1.76199,10.9247
1.76199,12.2958
1.76199,5.12592
1.76199,12.3338
1.76199,10.0326
58.795,64.3852
58.795,66.2131
58.795,48.9799
58.795,49.0287
58.795,60.0459
58.795,57.5476
58.795,71.9214
58.795,73.4743
58.795,48.0123
58.795,41.401
95.7859,84.0984
75.1989,92.1247
75.1989,60.3764
5.12592,4.67995
5.12592,10.9247
5.12592,9.35709
5.12592,10.0326
