z_0,z_1
41.7297,58.6499
41.7297,26.4987
41.7297,44.7665
86.2703,81.3608
86.2703,87.9466
86.2703,80.0238
86.2703,73.4616
55.4491,60.5816
55.4491,58.6499
55.4491,69.2776
55.4491,52.5858
22.5004,24.2866
22.5004,21.1052
22.5004,22.905
22.5004,15.8126
22.5004,21.3897
22.5004,20.8101
22.5004,29.1502
22.5004,13.0596
22.5004,21.184
22.5004,25.8065
46.7247,52.5858
46.7247,42.3589
46.7247,35.1933
46.7247,58.6499
46.7247,65.2569
46.7247,60.5816
7.37454,12.6784
7.37454,1.67584
7.37454,1.99428
7.37454,3.38707
7.37454,2.59884
7.37454,3.56804
39.5081,43.8428
9.14387,10.7197
9.14387,17.0705
9.14387,22.004
9.14387,10.5103
9.14387,0.5351
19.0643,18.4095
19.0643,21.0827
19.0643,20.3041
19.0643,23.3282
19.0643,29.8446
19.0643,22.6693
19.0643,24.0582
19.0643,10.5103
19.0643,1.75277
17.9363,19.873
17.9363,13.2128
17.9363,16.9943
17.9363,13.8148
17.9363,24.5986
17.9363,6.3017
17.9363,12.8136
17.9363,4.16593
17.9363,16.2902
73.335,69.3587
73.335,70.0154
73.335,65.2569
73.335,78.1909
73.335,77.3547
73.335,69.7095
73.335,80.1071
73.335,74.8614
73.335,77.4667
73.335,72.1906
87.1141,85.7626
1.99428,3.56804
1.99428,4.40287
1.99428,3.89177
26.9197,26.3474
26.9197,24.126
26.9197,26.4987
26.9197,25.8215
26.9197,13.0421
26.9197,13.4767
26.9197,46.2113
26.9197,22.004
4.16593,2.1643
4.16593,6.3017
4.16593,13.8148
4.16593,13.2128
4.16593,13.4767
4.16593,13.0421
4.16593,19.873
4.16593,16.2902
4.16593,16.9943
4.16593,12.8136
3.56804,4.40287
3.56804,2.59884
3.56804,1.67584
3.56804,3.38707
3.56804,3.89177
20.8101,21.1052
20.8101,15.8126
20.8101,24.2866
20.8101,25.8065
20.8101,13.0596
20.8101,15.7446
20.8101,29.1502
20.8101,22.6616
20.8101,19.6287
20.8101,13.7155
70.0154,69.7095
70.0154,69.6481
70.0154,68.6507
70.0154,69.3587
70.0154,73.5804
70.0154,65.2569
70.0154,78.1909
70.0154,52.5858
95.9705,99.762
95.9705,89.3295
95.9705,92.0965
95.9705,92.2784
95.9705,95.2898
95.9705,91.3752
95.9705,84.3407
96.2301,85.7626
96.2301,86.0506
78.1909,73.5804
24.126,26.4987
24.126,26.3474
24.126,25.8215
24.126,13.0421
24.126,13.4767
24.126,22.6616
24.126,29.1502
57.799,55.9121
57.799,61.8548
57.799,55.9588
57.799,56.294
57.799,49.4672
57.799,55.2245
57.799,47.2658
57.799,51.1072
57.799,45.2444
57.799,47.0179
57.799,39.8357
57.799,48.7537
57.799,59.6586
33.6108,26.5313
33.6108,27.7492
33.6108,27.8827
33.6108,24.9869
33.6108,19.6287
33.6108,25.8065
33.6108,27.6651
33.6108,15.7446
29.1502,24.2866
29.1502,22.905
29.1502,21.3897
29.1502,22.6616
29.1502,25.8065
29.1502,21.184
29.1502,15.8126
29.1502,21.1052
29.1502,13.0596
29.1502,27.7492
29.1502,27.8827
29.1502,27.6651
29.1502,15.7446
29.1502,26.5313
29.1502,26.3474
25.8215,26.4987
25.8215,26.3474
25.8215,35.1933
25.8215,13.4767
25.8215,13.0421
25.8215,24.5986
25.8215,42.3589
25.8215,16.2902
13.7155,15.7446
13.7155,19.6287
13.7155,26.5313
13.7155,24.9869
13.7155,27.7492
13.7155,13.0596
13.7155,27.8827
13.7155,27.6651
13.7155,15.8126
13.7155,21.184
13.7155,21.3897
13.7155,25.8065
13.7155,7.81691
13.7155,24.2866
13.7155,22.905
58.6499,60.5816
58.6499,65.2569
58.6499,56.3582
58.6499,69.2776
58.6499,52.5858
58.6499,72.1906
58.6499,69.3587
58.6499,74.8614
58.6499,45.4733
58.6499,42.3589
58.6499,46.2113
10.7197,17.0705
10.7197,22.004
10.7197,10.5103
10.7197,7.30074
10.7197,0.5351
61.0793,60.493
61.0793,59.6069
1.67584,3.38707
1.67584,4.40287
1.67584,3.89177
98.9337,82.3193
72.1906,74.8614
72.1906,69.2776
72.1906,74.0501
72.1906,65.2569
72.1906,69.3587
72.1906,67.6563
72.1906,76.4047
72.1906,76.0878
72.1906,76.7385
72.1906,73.5804
72.1906,87.2306
72.1906,86.7322
72.1906,80.0238
72.1906,60.5816
89.6333,90.4557
89.6333,80.1071
13.8148,6.3017
13.8148,13.2128
13.8148,19.873
13.8148,16.9943
13.8148,24.5986
4.40287,2.59884
4.40287,3.38707
4.40287,3.89177
68.7236,67.3755
68.7236,75.0283
68.7236,76.0559
68.7236,62.1242
68.7236,63.6091
68.7236,59.6586
68.7236,61.8548
68.7236,78.3017
68.7236,78.4856
68.7236,76.003
68.7236,83.9036
39.8357,45.2444
39.8357,47.2658
39.8357,47.0179
39.8357,49.4672
39.8357,40.4818
39.8357,48.7537
39.8357,51.1072
39.8357,55.9121
39.8357,39.7902
17.0705,22.004
17.0705,24.0582
17.0705,10.5103
17.0705,22.6693
17.0705,30.112
17.0705,27.6651
16.2902,13.4767
16.2902,13.0421
16.2902,12.8136
16.2902,24.5986
16.2902,7.30074
16.2902,16.9943
16.2902,19.873
16.2902,12.6784
16.2902,2.1643
63.6091,67.3755
63.6091,59.6586
63.6091,76.0559
63.6091,61.8548
63.6091,76.003
63.6091,75.0283
63.6091,50.1011
63.6091,78.3017
63.6091,78.4856
63.6091,48.7537
2.24245,13.0596
2.24245,15.8126
42.3589,45.4733
42.3589,35.1933
42.3589,52.5858
83.3592,87.2306
83.3592,80.0238
83.3592,69.2776
83.3592,82.3193
83.3592,74.8614
82.7034,90.4557
46.2113,44.7665
50.1011,59.6586
50.1011,62.1242
50.1011,48.7537
67.3755,62.1242
67.3755,59.6586
67.3755,76.0559
67.3755,75.0283
67.3755,78.3017
67.3755,78.4856
67.3755,61.8548
67.3755,76.003
76.4047,86.7322
76.4047,73.933
76.4047,67.6563
76.4047,74.8614
76.4047,89.9567
26.788,30.6141
26.788,31.5535
26.788,29.8446
26.788,21.7369
26.788,20.3041
22.905,21.184
22.905,21.1052
22.905,24.2866
22.905,15.8126
22.905,25.8065
22.905,22.6616
22.905,13.0596
22.905,15.7446
22.905,19.6287
85.7626,86.0506
85.7626,76.8454
99.762,95.2898
99.762,89.3295
99.762,92.0965
99.762,92.2784
99.762,91.3752
7.81691,19.6287
7.81691,15.7446
3.38707,3.89177
21.3897,21.184
21.3897,15.8126
21.3897,24.2866
21.3897,21.1052
