y_0,y_1
86.0055,97.2209
86.0055,72.9492
86.0055,96.8522
86.0055,97.8173
86.0055,73.2601
86.0055,72.6087
86.0055,70.3455
65.5452,49.5603
53.9657,47.5438
53.9657,46.045
53.9657,59.7346
64.5593,68.9247
64.5593,72.3521
64.5593,75.9228
64.5593,79.8018
64.5593,73.8224
64.5593,74.5916
64.5593,61.4935
64.5593,46.7347
88.2099,83.08
88.2099,93.2108
88.2099,98.104
88.2099,90.6586
88.2099,74.5916
88.2099,73.8224
88.2099,87.7768
88.2099,73.5674
88.2099,84.4974
88.2099,76.0467
47.5438,46.045
47.5438,53.2394
47.5438,54.0094
47.5438,54.9463
47.5438,59.7346
60.6789,66.4051
60.6789,62.5415
60.6789,64.1144
60.6789,54.2923
60.6789,62.4137
60.6789,50.9397
60.6789,62.4377
60.6789,71.8481
60.6789,45.5349
60.6789,48.275
95.7774,96.8522
95.7774,97.6534
95.7774,95.7497
95.7774,83.6229
95.7774,84.2643
95.7774,82.4401
95.7774,97.2209
95.7774,86.3011
6.87267,7.04752
6.87267,6.85237
6.87267,16.4011
6.87267,17.721
6.87267,16.5653
6.87267,24.4604
6.87267,16.2372
42.8857,49.5603
42.8857,34.2233
97.2209,84.2643
72.3521,75.9228
72.3521,68.9247
72.3521,79.8018
72.3521,73.8224
72.3521,74.5916
72.3521,71.8481
72.3521,62.4377
11.1281,9.9938
11.1281,5.22024
11.1281,3.50947
11.1281,7.72394
11.1281,5.55251
11.1281,2.69894
11.1281,6.30775
11.1281,8.93139
11.1281,8.69469
11.1281,17.1843
11.1281,12.2565
11.1281,12.4429
11.1281,3.26725
42.7845,44.2492
42.7845,46.7667
42.7845,46.8728
42.7845,41.0037
42.7845,45.5349
42.7845,54.2923
42.7845,47.7202
42.7845,50.9397
62.4377,64.1144
62.4377,62.5577
62.4377,60.5757
62.4377,71.8481
62.4377,54.2923
62.4377,57.9087
62.4377,62.5415
62.4377,66.4051
62.4377,62.4137
62.4377,46.7667
62.4377,46.8728
62.4377,47.7202
62.4377,50.9397
62.4377,44.2492
62.4377,68.9247
79.8018,75.9228
79.8018,68.9247
79.8018,84.0255
79.8018,74.5916
79.8018,73.8224
79.8018,83.9621
79.8018,81.1417
79.8018,73.5674
48.275,50.9397
48.275,45.5349
48.275,44.2492
48.275,41.0037
48.275,46.7667
48.275,62.4137
48.275,46.8728
48.275,47.7202
48.275,62.5415
48.275,57.9087
48.275,60.5757
48.275,54.2923
48.275,37.3246
48.275,64.1144
48.275,62.5577
76.0287,83.1558
76.0287,82.4401
76.0287,81.6559
76.0287,74.762
76.0287,86.3011
76.0287,70.3455
76.0287,83.6229
76.0287,73.2601
76.0287,86.1387
76.0287,81.1417
76.0287,61.4935
47.4765,46.7856
47.4765,46.7347
47.4765,35.1735
47.4765,64.3886
47.4765,35.2979
64.584,62.2043
64.584,62.6497
54.0094,54.9463
54.0094,46.045
54.0094,59.7346
96.6239,94.7786
70.3455,73.2601
70.3455,74.762
70.3455,57.4341
70.3455,82.4401
70.3455,83.6229
70.3455,63.1439
70.3455,56.3615
70.3455,55.7606
70.3455,54.5829
70.3455,84.2643
70.3455,71.7154
70.3455,59.3968
70.3455,67.0742
70.3455,83.1558
90.0343,92.6571
90.0343,97.8173
98.104,93.2108
98.104,90.6586
98.104,87.7768
98.104,84.4974
98.104,83.9621
46.045,53.2394
46.045,54.9463
46.045,59.7346
3.67681,2.11783
3.67681,7.00536
3.67681,6.41786
3.67681,1.70073
3.67681,1.01789
3.67681,3.26725
3.67681,5.22024
3.67681,6.9671
3.67681,6.6199
3.67681,3.74658
3.67681,15.3922
12.2565,8.69469
12.2565,6.30775
12.2565,17.1843
12.2565,5.55251
12.2565,19.3131
12.2565,12.4429
12.2565,8.93139
12.2565,9.9938
12.2565,22.1856
46.7856,46.7347
46.7856,36.8143
46.7856,35.1735
46.7856,35.026
46.7856,33.3815
46.7856,47.7202
73.5674,74.5916
73.5674,73.8224
73.5674,76.0467
73.5674,83.9621
73.5674,64.3886
73.5674,84.4974
73.5674,87.7768
73.5674,65.894
73.5674,83.08
1.01789,2.11783
1.01789,3.26725
1.01789,6.41786
1.01789,5.22024
1.01789,3.74658
1.01789,7.00536
1.01789,0.41052
1.01789,6.9671
1.01789,6.6199
1.01789,12.4429
68.9775,62.4137
68.9775,62.5415
81.1417,86.1387
81.1417,84.0255
81.1417,86.3011
84.0247,71.7154
84.0247,67.0742
84.0247,74.762
84.0247,94.7786
84.0247,73.2601
84.8787,92.6571
61.4935,60.8762
0.41052,3.26725
0.41052,1.70073
0.41052,12.4429
2.11783,1.70073
2.11783,3.26725
2.11783,6.41786
2.11783,7.00536
2.11783,6.9671
2.11783,6.6199
2.11783,5.22024
2.11783,3.74658
56.3615,59.3968
56.3615,43.8219
56.3615,63.1439
56.3615,73.2601
56.3615,59.9925
14.2472,22.9429
14.2472,22.7025
14.2472,28.1271
14.2472,14.4313
14.2472,31.4896
62.5577,57.9087
62.5577,66.4051
62.5577,64.1144
62.5577,62.5415
62.5577,54.2923
62.5577,71.8481
62.5577,62.4137
62.5577,50.9397
62.5577,45.5349
49.5603,34.2233
49.5603,35.2656
7.04752,16.5653
7.04752,6.85237
7.04752,16.4011
7.04752,17.721
7.04752,24.4604
37.3246,45.5349
37.3246,50.9397
54.9463,59.7346
60.5757,57.9087
60.5757,62.5415
60.5757,64.1144
60.5757,66.4051
60.5757,54.2923
60.5757,62.4137
60.5757,50.9397
60.5757,71.8481
60.5757,45.5349
60.5757,46.7667
60.5757,44.2492
60.5757,46.8728
28.1271,22.7025
28.1271,22.9429
28.1271,31.4896
28.1271,33.2941
28.1271,28.5126
28.1271,14.4313
28.1271,41.4022
66.4051,57.9087
66.4051,62.5415
66.4051,64.1144
66.4051,71.8481
66.4051,54.2923
66.4051,62.4137
66.4051,50.9397
28.5126,33.2941
28.5126,31.4896
28.5126,35.026
28.5126,36.8143
28.5126,41.4022
28.5126,14.4313
28.5126,22.7025
28.5126,22.9429
28.5126,35.1735
28.5126,33.3815
59.7346,53.2394
89.9642,92.6571
89.9642,97.8173
54.2923,57.9087
54.2923,64.1144
54.2923,45.5349
54.2923,50.9397
54.2923,62.5415
54.2923,43.1935
54.2923,44.2492
54.2923,46.7667
54.2923,46.8728
54.2923,62.4137
54.2923,47.7202
54.2923,41.0037
54.2923,71.8481
75.9228,68.9247
75.9228,73.8224
75.9228,74.5916
75.9228,71.8481
75.9228,84.0255
42.2467,35.4238
42.2467,42.7411
42.2467,30.5485
59.9925,72.9492
59.9925,55.7606
59.9925,72.6087
72.9492,72.6087
72.9492,84.2643
72.9492,63.1439
35.1735,35.2979
35.1735,35.026
35.1735,36.8143
35.1735,41.4022
35.1735,46.7347
35.1735,33.2941
12.4429,17.1843
12.4429,19.3131
12.4429,22.1856
12.4429,3.26725
12.4429,1.70073
12.4429,5.22024
12.4429,6.30775
12.4429,8.69469
41.0037,44.2492
41.0037,46.7667
41.0037,46.8728
41.0037,47.7202
41.0037,45.5349
41.0037,43.1935
41.0037,50.9397
84.0255,86.1387
84.0255,83.9621
84.0255,86.3011
84.0255,87.7768
83.08,74.5916
83.08,73.8224
83.08,93.2108
83.08,76.0467
83.08,90.6586
83.08,64.3886
92.6571,89.7953
97.8173,84.2643
67.0742,63.7657
67.0742,71.7154
67.0742,74.762
67.0742,73.2601
67.0742,59.3968
67.0742,84.4463
22.7025,31.4896
22.7025,33.2941
22.7025,14.4313
74.5916,64.3886
74.5916,66.5083
74.5916,76.0467
74.5916,68.9247
74.5916,83.9621
33.6207,32.5096
33.6207,34.0366
33.6207,35.2656
17.721,16.5653
17.721,24.4604
17.721,6.85237
17.721,30.5485
17.721,16.2372
17.721,35.4238
35.026,33.3815
35.026,41.4022
35.026,46.7347
35.026,33.2941
35.026,31.4896
94.7786,84.4463
47.7202,46.7667
47.7202,44.2492
47.7202,43.1935
47.7202,45.5349
47.7202,50.9397
86.3011,86.1387
86.3011,82.4401
86.3011,83.1558
86.3011,83.6229
86.3011,81.6559
22.9429,31.4896
22.9429,33.2941
64.3886,66.5083
64.3886,73.8224
14.4313,31.4896
44.2492,46.7667
44.2492,46.8728
44.2492,43.1935
44.2492,45.5349
44.2492,50.9397
44.2492,57.9087
7.72394,8.93139
7.72394,3.50947
7.72394,2.69894
7.72394,9.9938
7.72394,5.55251
7.72394,6.30775
7.72394,8.69469
7.72394,5.22024
71.7154,59.3968
71.7154,63.7657
71.7154,73.2601
71.7154,84.4463
71.7154,74.762
64.1144,71.8481
64.1144,62.5415
64.1144,57.9087
64.1144,62.4137
64.1144,50.9397
64.1144,45.5349
64.1144,46.7667
64.1144,46.8728
8.93139,5.55251
8.93139,2.69894
8.93139,3.50947
8.93139,9.9938
8.93139,6.30775
8.93139,8.69469
63.7657,59.3968
63.7657,74.762
8.69469,6.30775
8.69469,5.55251
8.69469,9.9938
8.69469,3.50947
8.69469,2.69894
8.69469,17.1843
8.69469,5.22024
8.69469,19.3131
63.1439,61.6124
63.1439,60.7665
63.1439,57.4341
63.1439,55.7606
63.1439,54.5829
63.1439,73.2601
63.1439,72.6087
90.6586,84.4974
90.6586,87.7768
90.6586,93.2108
90.6586,76.0467
90.6586,83.9621
16.5653,16.4011
16.5653,24.4604
16.5653,6.85237
16.5653,30.5485
3.26725,1.70073
3.26725,5.22024
3.26725,7.00536
3.26725,6.41786
3.26725,6.9671
3.26725,6.6199
3.26725,3.74658
3.26725,17.1843
62.6497,63.9829
62.6497,66.6492
46.7667,43.1935
46.7667,45.5349
46.7667,50.9397
46.7667,57.9087
3.74658,6.6199
3.74658,6.9671
3.74658,6.41786
3.74658,7.00536
3.74658,1.70073
3.74658,15.3922
22.1856,19.3131
22.1856,29.2726
22.1856,17.1843
22.1856,33.3815
83.1558,81.6559
83.1558,82.4401
83.1558,74.762
83.1558,95.7497
83.1558,83.6229
83.1558,97.6534
83.1558,73.2601
83.1558,86.1387
83.1558,96.8522
6.41786,6.9671
6.41786,6.6199
6.41786,15.3922
6.41786,16.2372
6.41786,1.70073
6.41786,5.22024
66.6492,62.2043
35.2979,31.1127
24.4604,30.5485
24.4604,16.4011
24.4604,35.4238
24.4604,6.85237
30.5485,35.4238
30.5485,16.4011
0.73973,3.40339
33.3815,29.2726
33.3815,36.8143
33.3815,46.7347
72.6087,84.2643
74.762,73.2601
74.762,81.6559
74.762,82.4401
74.762,83.6229
74.762,84.4463
93.2108,84.4974
93.2108,87.7768
93.2108,76.0467
62.5415,62.4137
62.5415,57.9087
62.5415,50.9397
62.5415,71.8481
62.5415,45.5349
46.8728,43.1935
46.8728,45.5349
46.8728,50.9397
46.8728,57.9087
41.4022,33.2941
41.4022,31.4896
41.4022,36.8143
41.4022,46.7347
17.1843,19.3131
