mvir,x,y,z,rockstarid
801370000000000,146.373,878.076,499.367,12595143063
800670000000000,671.797,827.471,221.32,12668659397
798690000000000,47.822,527.399,44.1777,12573393853
797750000000000,375.67,6.8908,271.576,12615293752
797570000000000,560.982,584.947,31.6287,12648086733
796860000000000,218.703,823.929,800.968,12604626971
796230000000000,580.996,29.6134,927.108,12643464848
795850000000000,521.556,213.846,627.705,12635838953
795760000000000,66.2477,798.286,737.998,12576071237
794640000000000,609.18,865.249,134.386,12659525221
793960000000000,176.115,19.6837,698.167,12587685994
793030000000000,454.499,542.043,483.725,12629417487
792920000000000,624.973,31.2202,479.264,12652275623
792760000000000,982.867,447.051,247.702,12701673810
792390000000000,157.002,566.335,384.842,12592747684
791330000000000,348.244,694.049,251.783,12621684372
790010000000000,387.151,48.9209,121.831,12615187288
789430000000000,501.702,734.868,703.124,12640468160
788620000000000,74.2371,28.1028,322.577,12578140192
786150000000000,162.284,246.135,834.161,12590088370
786120000000000,258.908,129.633,196.134,12597830488
785650000000000,503.657,677.576,520.852,12639787734
785030000000000,465.383,537.599,332.289,12629309764
784310000000000,158.902,576.939,852.291,12593034023
784000000000000,149.319,675.609,562.165,12593467718
779450000000000,560.178,951.928,990.109,12651990584
778700000000000,767.167,358.486,534.632,12673437680
778370000000000,814.394,838.68,996.649,12687271129
778000000000000,430.036,801.87,340.875,12631592082
777860000000000,603.352,505.448,585.719,12656946349
777540000000000,158.244,385.474,213.193,12590919452
776820000000000,540.956,273.944,770.134,12645652064
776800000000000,769.21,282.593,359.887,12672756262
776390000000000,414.835,268.234,446.733,12627036455
775280000000000,241.095,254.028,248.889,12599040819
774610000000000,198.376,913.303,980.563,12595951988
774320000000000,632.479,831.813,826.64,12659866617
774310000000000,176.442,767.734,138.409,12594358975
774210000000000,557.965,718.388,770.145,12649642118
773360000000000,108.724,737.907,552.181,12584720030
772270000000000,913.414,142.755,871.531,12690064381
772190000000000,967.202,435.681,393.304,12701235412
771730000000000,134.229,812.909,639.575,12585984625
771490000000000,161.702,93.9271,660.492,12588289328
771220000000000,652.778,261.619,695.431,12654721349
770920000000000,397.824,895.321,247.12,12623382615
769270000000000,854.89,247.543,650.006,12681390969
767870000000000,719.866,689.497,651.015,12667780456
767650000000000,160.096,286.396,921.911,12590180192
767280000000000,197.757,185.222,932.418,12589031524
765960000000000,741.839,476.923,98.5767,12674298573
765710000000000,530.519,792.481,270.316,12640744816
765300000000000,275.085,912.533,949.467,12614498989
765190000000000,791.763,801.992,400.093,12677281135
764840000000000,889.632,655.425,142.891,12694266805
763500000000000,201.334,967.433,130.545,12605369732
762830000000000,451.372,268.6,887.177,12627296574
762010000000000,197.799,191.667,438.228,12589320143
761970000000000,837.357,757.137,51.8567,12686187265
761280000000000,122.585,147.757,598.529,12579460017
760840000000000,666.346,13.686,565.671,12652345954
760020000000000,958.072,260.354,469.801,12700120466
758990000000000,590.927,440.33,984.222,12646923110
758510000000000,497.099,24.9327,639.193,12634107929
757970000000000,776.465,948.595,375.125,12678979017
757120000000000,28.4217,783.941,942.14,12576174516
756600000000000,628.971,371.085,951.949,12655441609
754500000000000,968.953,935.056,19.7027,12706091106
753330000000000,157.429,966.133,775.062,12596441339
749880000000000,392.527,159.419,856.485,12616792742
749780000000000,14.7615,325.191,986.904,12572152447
749550000000000,349.922,112.506,720.234,12616134134
749300000000000,757.212,257.611,345.396,12672716319
748930000000000,392.335,210.811,295.626,12617045264
748520000000000,788.737,831.762,699.589,12678028112
748100000000000,456.532,441.626,910.722,12629054579
747710000000000,276.972,763.014,38.5503,12612848590
747590000000000,603.622,503.954,583.366,12656374901
746530000000000,285.784,984.527,481.249,12614854958
746020000000000,912.128,474.347,765,12692925993
745710000000000,296.913,235.554,561.893,12607936178
745520000000000,211.436,600.897,152.919,12601907734
744550000000000,490.379,335.494,253.855,12636779504
743920000000000,22.6805,147.225,62.7529,12569841162
742080000000000,496.743,960.484,733.515,12642762845
741620000000000,826.516,468.74,112.196,12683429920
741580000000000,563.578,80.4158,921.075,12644000674
741220000000000,288.279,296.402,105.414,12608257595
740650000000000,484.099,233.789,903.558,12636014955
740530000000000,72.2943,316.198,194.636,12581033015
740200000000000,269.916,768.886,29.0111,12612847936
739320000000000,33.0523,100.075,228.166,12569364935
739180000000000,381.603,374.467,298.58,12618829399
739100000000000,801.699,762.023,424.3,12686402257
738990000000000,788.513,890.327,562.797,12678523789
738700000000000,157.277,363.734,521.994,12590519078
737630000000000,534.989,699.219,996.263,12649743004
737190000000000,12.6608,192.436,341.336,12570027726
737110000000000,535.485,907.021,506.641,12651213048
736620000000000,523.192,87.7689,420.614,12634574741
735920000000000,935.866,793.803,192.955,12704441136
735620000000000,178.72,771.381,643.168,12594645467
735490000000000,762.248,667.937,972.219,12676468353
734950000000000,651.017,138.432,846.606,12653634685
734860000000000,270.925,746.625,342.831,12613064554
734420000000000,957.851,185.564,986.521,12699805975
734120000000000,871.679,912.727,122.886,12696448144
733700000000000,867.927,619.227,24.4362,12693634098
733260000000000,394.484,215.52,296.542,12617045854
733150000000000,384.252,737.981,728.975,12621937620
730180000000000,944.989,78.5184,885.772,12698587095
730070000000000,846.518,275.25,365.744,12681856157
729850000000000,218.216,586.096,136.629,12601907167
729520000000000,559.9,996.645,320.042,12651602299
728560000000000,339.659,549.965,610.979,12620184022
727190000000000,372.383,261.314,316.628,12617631142
725780000000000,250.548,458.086,314.611,12600842549
725710000000000,521.24,783.115,593.213,12640963315
725620000000000,674.905,574.675,709.334,12666676643
725240000000000,646.214,861.803,821.445,12659870032
725210000000000,712.971,130.195,850.772,12662721177
725060000000000,368.686,516.864,74.4049,12619826312
724540000000000,173.709,411.081,71.096,12590845424
724300000000000,703.436,147.096,861.232,12662754024
723640000000000,318.118,668.445,633.442,12612067133
722830000000000,119.091,48.9384,387.742,12578177190
722140000000000,262.61,61.304,589.056,12597464496
721790000000000,6.48016,110.601,510.107,12569512143
720620000000000,267.267,437.84,689.707,12601065404
720480000000000,895.784,806.237,735.041,12695718180
719130000000000,348.694,229.781,116.836,12616968762
718710000000000,307.744,608.957,19.8544,12611127951
718320000000000,169.864,302.229,915.363,12590153998
718260000000000,651.787,622.408,161.487,12657263653
717720000000000,952.876,161.634,499.082,12698944168
717380000000000,443.932,666.333,224.306,12630393173
717140000000000,71.5385,407.243,463.534,12581768825
716640000000000,797.846,767.86,743.964,12677495853
715900000000000,319.482,89.6981,567.121,12606767293
715370000000000,862.057,681.453,450.028,12685271463
715300000000000,334.081,924.73,311.938,12623419328
714860000000000,126.472,818.719,246.435,12585732539
714310000000000,966.96,569.051,516.013,12702979612
712870000000000,758.903,487.878,922.812,12674755754
712600000000000,434.854,464.998,716.297,12628945054
712320000000000,716.559,621.794,192.203,12666963506
711980000000000,501.469,489.07,99.3939,12637837525
711910000000000,691.708,146.053,592.48,12662578886
711620000000000,974.466,557.917,44.655,12702129139
711360000000000,700.194,676.763,195.497,12666954994
710930000000000,274.436,967.731,476.367,12614854598
710910000000000,559.019,858.355,590.542,12650658044
710590000000000,665.786,348.503,118.337,12654971852
710420000000000,384.536,356.871,520.768,12618353278
710260000000000,809.667,569.794,770.7,12684361878
709910000000000,963.879,639.35,49.504,12703282731
709010000000000,141.002,698.52,718.279,12594108224
709000000000000,830.736,421.494,469.385,12683046486
707620000000000,863.782,622.336,451.763,12684806784
707570000000000,138.136,834.878,143.108,12594923584
707450000000000,32.7908,649.257,36.6219,12574501776
704630000000000,137.129,732.042,183.174,12593822409
704560000000000,867.242,595.691,288.808,12684641343
704250000000000,138.11,650.638,970.437,12593683426
703810000000000,688.566,650.873,172.851,12666954277
703790000000000,526.104,776.492,594.294,12640960156
703490000000000,168.764,871.333,54.6296,12594887944
702320000000000,712.144,279.982,70.1869,12663468394
701960000000000,857.325,221.61,990.184,12681610423
701690000000000,219.816,819.391,487.324,12604408430
701270000000000,164.843,773.77,845.283,12594750548
701100000000000,359.294,446.486,128.007,12619310564
700970000000000,635.132,523.944,902.094,12657125012
700950000000000,248.012,359.554,814.494,12599926324
700840000000000,779.124,218.302,712.656,12672324421
