mvir,x,y,z
1.00E+13,587.279,918.096,591.955
1.00E+13,515.863,462.087,439.465
1.00E+13,566.541,957.334,241.447
1.00E+13,810.323,999.453,493.219
1.00E+13,601.638,741.421,538.094
1.00E+13,647.135,257.282,693.091
1.00E+13,554.141,775.615,660.672
1.00E+13,438.224,395.75,503.75
1.00E+13,983.872,377.654,548.629
1.00E+13,607.019,222.748,577.191
1.00E+13,677.844,190.241,570.353
1.00E+13,705.109,118.147,75.7699
1.00E+13,754.622,381.255,633.954
1.00E+13,660.322,747.525,548.769
1.00E+13,713.941,390.519,76.6264
1.00E+13,786.683,521.179,662.803
1.00E+13,854.728,608.996,6.60922
1.00E+13,758.19,793.441,274.728
1.00E+13,946.077,421.623,905.679
1.00E+13,816.076,957.204,2.96545
1.00E+13,864.799,403.852,987.324
1.00E+13,680.515,945.702,671.493
1.00E+13,944.778,640.688,261.693
1.00E+13,721.886,357.173,504.11
1.00E+13,973.973,504.938,308.919
1.00E+13,930.683,587.35,457.669
1.00E+13,989.999,436.05,867.4
1.00E+13,928.604,982.675,11.1962
1.00E+13,716.36,904.122,785.334
1.00E+13,16.3933,145.123,746.108
1.00E+13,75.7732,683.347,475.503
1.00E+13,71.6946,639.801,961.733
1.00E+13,36.3944,999.049,463.54
1.00E+13,162.312,171.103,794.326
1.00E+13,98.4942,665.92,102.23
1.00E+13,348.894,659.569,292.828
1.00E+13,134.954,596.221,884.59
1.00E+13,34.4537,947.03,607.486
1.00E+13,108.533,385.03,833.661
1.00E+13,199.595,582.92,723.764
1.00E+13,179.918,639.681,560.357
1.00E+13,457.014,520.948,616.151
1.00E+13,167.443,631.601,943.221
1.00E+13,101.405,686.13,549.289
1.00E+13,269.168,765.124,33.9167
1.00E+13,92.8894,376.331,211.1
1.00E+13,255.101,971.531,331.7
1.00E+13,272.932,598.721,777.425
1.00E+13,504.509,447.578,535.178
1.00E+13,252.412,749.174,147.818
1.00E+13,528.681,688.058,273.569
1.00E+13,356.394,123.644,715.394
1.00E+13,372.874,997.85,886.211
1.00E+13,388.089,977.023,11.3211
1.00E+13,306.933,366.637,562.797
1.00E+13,197.625,475.071,381.484
1.00E+13,450.222,27.6375,650.182
1.00E+13,354.13,262.614,548.692
1.00E+13,684.464,415.736,520.043
1.00E+13,363.561,322.923,582.926
1.00E+13,637.277,797.272,537.389
1.00E+13,486.385,60.8699,610.682
1.00E+13,428.754,595.192,744.75
1.00E+13,473.651,327.103,362.291
1.00E+13,250.138,330.257,64.6167
1.00E+13,451.683,460.825,356.416
1.00E+13,461.9,348.175,515.801
1.00E+13,596.561,100.743,305.544
1.00E+13,576.546,472.74,910.002
1.00E+13,541.101,118.275,0.98229
1.00E+13,549.168,998.25,666.798
1.00E+13,553.298,801.37,17.899
1.00E+13,666.367,26.8857,315.592
1.00E+13,922.75,60.9157,354.791
1.00E+13,971.822,193.679,715.956
1.00E+13,606.328,960.015,628.743
1.00E+13,684.55,600.238,351.111
1.00E+13,728.441,366.27,51.4656
1.00E+13,995.855,746.659,965.066
1.00E+13,748.653,952.064,602.788
1.00E+13,527.837,328.885,91.1404
1.00E+13,810.782,30.1341,808.983
1.00E+13,596.919,430.021,316
1.00E+13,572.073,591.694,587.234
1.00E+13,770.251,592.417,559.125
1.00E+13,794.11,979.872,174.092
